state,box0,box1,box2,box3,box4,box5,box6,box7,box8
122201120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
122201000,0.0,0.0,0.0,0.0,0.0024999999999999996,0.0,-0.007500000000000001,0.0,-0.005
022001000,0.0,0.0,-0.5,0.0,0.00022753125,0.0,0.0,0.0,-4.9875e-05
020000000,-0.007098815152478053,-0.5,-0.0032949591914077556,-0.005239412643621683,-0.006490168382815511,-0.0014963545957038778,-0.006490168382815511,-0.004147128332177594,-0.0041976303049561054
011220020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
010020020,0.01503134765625,0.0,6.269531250000001e-05,0.0,0.0,-0.005,-0.004952905273437501,-0.5,0.0
000020000,-0.00364872510935168,-0.00752371584370336,-0.0037998469773535258,-0.008749971977353525,-0.5,-0.0074999439547070515,-0.009995113374813442,-0.009997556687406721,-0.009995113374813442
002021012,0.0,0.0,0.0,0.0,0.0,-0.5,0.00625,0.0,0.0
002000012,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
002000000,-0.004693784741595705,-0.009689819483191411,-0.5,-0.00937963896638282,-0.009689819483191411,-0.008684923620797851,-0.004991662428248606,-0.007369847241595705,-0.009342461810398927
102210002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
102000002,0.0,0.0,0.0,0.0,0.0,0.0001178741455078125,0.0,0.0,-0.5
110220020,0.0,0.0,1.0,0.0,0.0,0.00625,0.0,0.0,0.0
010220000,-0.003673875,0.0,-0.005,0.0,0.0,0.0,0.0,0.00015112499999999997,0.0
000200000,-0.00728536178663736,-0.0048916116677355966,-0.00494249339331868,-0.5,-0.002329790302941407,-0.003168195734409957,-0.00457072357327472,-0.007279667177925802,-0.004559334355851603
122002001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
002002001,0.0,0.0,-0.5,0.0,0.00015112499999999997,0.0,6.269531250000001e-05,0.0,0.0
202012010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200012000,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00015112499999999997,-0.005
000002000,-0.008426353776615436,-0.008113443845812881,-0.008426098388871938,-0.00457823596145322,-0.008113443845812881,-0.5,-0.0039055969229064404,-0.00463839923072661,-0.00952836096145322
200000210,0.0,0.006476125,-0.005,0.0,0.0,0.0,0.0,-0.5,-0.005
000000200,-0.005023460814670197,-0.009999999301478052,-0.009999999301478052,-0.005049687736669928,-0.009999999825369513,-0.002523332504141136,-0.5,-0.009999999650739026,-0.004999623940556384
022000001,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0
