state,box0,box1,box2,box3,box4,box5,box6,box7,box8
211012221,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210012201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210002001,0.0,0.0,0.00021327322387695315,-4.9875e-05,0.0,0.0,0.0,0.000182892578125,-0.5
000002001,-0.00503719350752019,-7.481250000000001e-05,0.0,0.015,0.0,-0.5,0.0,-4.9875e-05,0.0
000000000,-6.690043135404969e-05,-8.069380777643698e-05,-9.606298938252171e-05,-4.652013049743273e-05,-9.202225533624508e-05,-9.237597876504341e-05,-8.018375614539355e-05,-3.3948953239446715e-05,-8.429451067249016e-05
012022101,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
010022001,0.0,-0.5,-0.005,0.0,0.0,0.0,9.418945312500002e-05,-0.004952905273437501,0.0
010002000,-4.98737562421875e-07,0.0,0.014974937815609395,-2.4343344604301455e-05,0.0001260628156093945,-0.5,-4.9875e-05,-4.98737562421875e-07,-5.012436878121094e-05
001121202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001001202,0.015,8.788281250000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
000001002,0.0,0.0,0.0,1.299228065472456e-06,0.015,-0.5,8.788667419436648e-07,0.0,0.0
212221101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
200221101,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200020101,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
000020100,-0.005,0.015,-4.9875e-05,-6.813565642810547e-05,-0.5,0.0,0.0,0.0,-0.005
220211112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220211010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
220001010,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200001000,0.0,0.007564970950975078,0.0,-0.005,0.015,-0.5,0.00015112499999999997,0.0,0.0
201202101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
000202101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
011212002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
011002002,0.0,0.0,0.0,0.0,0.015,0.0,0.0,-1.0,0.0
012112200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
010102200,0.0076828925781249995,0.0,0.0150755625,0.0,0.00015112499999999997,0.0,0.0,2.5687499999999987e-05,-0.0011585537109375012
001200201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000000201,0.0,0.0,0.0,-0.005037215359836089,0.015,-7.443071967217812e-05,0.0,-3.627342094657366e-05,-0.5
110221221,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110200221,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
100200201,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
121022112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120022110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
000022110,-1.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
